PatientId,FirstName,LastName,Email,Phone,DateOfBirth,Address,NhsNumber,GpId
P001,John,Smith,john.smith@email.com,07700900001,1985-03-15,123 High Street London,NHS1234567890,C001
P002,Emma,Johnson,emma.j@email.com,07700900002,1990-07-22,45 Park Avenue Manchester,NHS2345678901,C001
P003,Michael,Williams,m.williams@email.com,07700900003,1978-11-08,78 Queens Road Birmingham,NHS3456789012,C002
P004,Sarah,Brown,sarah.brown@email.com,07700900004,1995-05-30,21 Oak Lane Leeds,NHS4567890123,C002
P005,David,Jones,d.jones@email.com,07700900005,1982-09-14,67 Station Road Liverpool,NHS5678901234,C001
P006,Lisa,Taylor,lisa.taylor@email.com,07700900006,1988-12-03,34 Church Street Bristol,NHS6789012345,C003
P007,Robert,Davies,r.davies@email.com,07700900007,1975-02-18,89 Mill Lane Sheffield,NHS7890123456,C003
P008,Jennifer,Wilson,jen.wilson@email.com,07700900008,1992-08-25,12 Bridge Road Newcastle,NHS8901234567,C002
P009,James,Evans,james.evans@email.com,07700900009,1980-04-11,56 Hill View Cardiff,NHS9012345678,C001
P010,Amy,Thomas,amy.thomas@email.com,07700900010,1987-06-29,90 Green Lane Edinburgh,NHS0123456789,C003
